case Id,activity,timestamp
60_0,Loan application received,63566010000
60_0,Check application form completeness,63566010743
60_0,Check credit history,63566010879
60_0,Appraise property,63566012846
60_0,Assess loan risk,63566012928
60_0,Assess eligibility,63566014648
60_0,Added Activity,63566015391
60_0,Loan application rejected,63566015391
61_1,Loan application received,63566083800
61_1,Check application form completeness,63566084256
61_1,Appraise property,63566084717
61_1,Check credit history,63566086233
61_1,Assess loan risk,63566089066
61_1,Assess eligibility,63566091410
61_1,Added Activity,63566092935
61_1,Loan application rejected,63566092935
62_2,Loan application received,63566100000
62_2,Check application form completeness,63566100381
62_2,Check credit history,63566101123
62_2,Appraise property,63566102012
62_2,Assess loan risk,63566102838
62_2,Assess eligibility,63566334788
62_2,Prepare acceptance pack,63566335560
62_2,Check if home insurance quote is requested,63566335667
62_2,Send acceptance pack,63566336311
62_2,Verify repayment agreement,63566336707
62_2,Approve application,63566337714
62_2,Loan application approved,63566337714
140_3,Loan application received,63571453200
140_3,Check application form completeness,63571453499
140_3,Check credit history,63571454250
140_3,Assess loan risk,63571455013
140_3,Appraise property,63571457144
140_3,Assess eligibility,63571518962
140_3,Prepare acceptance pack,63571521395
140_3,Check if home insurance quote is requested,63571526055
140_3,Send home insurance quote,63571527798
140_3,Verify repayment agreement,63571527837
140_3,Cancel application,63571529093
140_3,Loan application canceled,63571529093
69_4,Loan application received,63566616600
69_4,Check application form completeness,63566617404
69_4,Appraise property,63566617948
69_4,Check credit history,63566679647
69_4,Assess loan risk,63566682842
69_4,Assess eligibility,63566683500
69_4,Added Activity,63566684206
69_4,Loan application rejected,63566684206
141_5,Loan application received,63571527000
141_5,Check application form completeness,63571527148
141_5,Check credit history,63571528864
141_5,Appraise property,63571532709
141_5,Assess loan risk,63571533202
141_5,Assess eligibility,63571533388
141_5,Added Activity,63571533844
141_5,Loan application rejected,63571533844
50_6,Loan application received,63565387200
50_6,Check application form completeness,63565394043
50_6,Appraise property,63565395176
50_6,Check credit history,63565397015
50_6,Assess loan risk,63565397316
50_6,Assess eligibility,63565400323
50_6,Prepare acceptance pack,63565403931
50_6,Check if home insurance quote is requested,63565405349
50_6,Send acceptance pack,63565405651
50_6,Verify repayment agreement,63565406708
50_6,Cancel application,63565409359
50_6,Loan application canceled,63565409359
70_7,Loan application received,63566690400
70_7,Check application form completeness,63566692896
70_7,Check credit history,63566693319
70_7,Appraise property,63566694304
70_7,Assess loan risk,63566696661
70_7,Assess eligibility,63566696865
70_7,Prepare acceptance pack,63566697217
70_7,Check if home insurance quote is requested,63566697372
70_7,Send acceptance pack,63566697982
70_7,Verify repayment agreement,63566698692
70_7,Cancel application,63566699002
70_7,Loan application canceled,63566699002
72_8,Loan application received,63566953200
72_8,Check application form completeness,63566957616
72_8,Return application back to applicant,63566958771
72_8,Receive updated application,63566959127
72_8,Check application form completeness,63566959207
72_8,Check credit history,63566959540
72_8,Assess loan risk,63566960152
72_8,Appraise property,63566961842
72_8,Assess eligibility,63566962937
72_8,Prepare acceptance pack,63566964136
72_8,Check if home insurance quote is requested,63566966566
72_8,Send acceptance pack,63567026248
72_8,Verify repayment agreement,63567029046
72_8,Approve application,63567032010
72_8,Loan application approved,63567032010
51_9,Loan application received,63565403400
51_9,Check application form completeness,63565411910
51_9,Appraise property,63565471772
51_9,Check credit history,63565471913
51_9,Assess loan risk,63565476267
51_9,Assess eligibility,63565485289
51_9,Reject application,63565486063
51_9,Added Activity,63565489527
51_9,Loan application rejected,63565489527
249_10,Loan application received,63579036600
249_10,Check application form completeness,63579036956
249_10,Appraise property,63579038171
249_10,Check credit history,63579041190
249_10,Assess loan risk,63579042337
249_10,Assess eligibility,63579043729
249_10,Prepare acceptance pack,63579044600
249_10,Check if home insurance quote is requested,63579044877
249_10,Send acceptance pack,63579045725
249_10,Verify repayment agreement,63579045746
249_10,Approve application,63579048107
249_10,Loan application approved,63579048107
73_11,Loan application received,63567027000
73_11,Check application form completeness,63567028743
73_11,Check credit history,63567028995
73_11,Assess loan risk,63567029066
73_11,Appraise property,63567030915
73_11,Assess eligibility,63567036159
73_11,Prepare acceptance pack,63567037634
73_11,Check if home insurance quote is requested,63567039699
73_11,Send acceptance pack,63567043860
73_11,Verify repayment agreement,63567045242
73_11,Approve application,63567052251
73_11,Loan application approved,63567052251
244_12,Loan application received,63578610000
244_12,Check application form completeness,63578610860
244_12,Check credit history,63578611330
244_12,Assess loan risk,63578611467
244_12,Appraise property,63578611788
244_12,Assess eligibility,63578613399
244_12,Added Activity,63578617676
244_12,Loan application rejected,63578617676
243_13,Loan application received,63578536200
243_13,Check application form completeness,63578538767
243_13,Check credit history,63578539017
243_13,Assess loan risk,63578540528
243_13,Appraise property,63578543726
243_13,Assess eligibility,63578604600
243_13,Added Activity,63578605310
243_13,Loan application rejected,63578605310
71_14,Loan application received,63566706600
71_14,Check application form completeness,63566706718
71_14,Check credit history,63566707095
71_14,Assess loan risk,63566938826
71_14,Appraise property,63566940273
71_14,Assess eligibility,63566940390
71_14,Added Activity,63566940622
71_14,Loan application rejected,63566940622
58_15,Loan application received,63565920000
58_15,Check application form completeness,63565920337
58_15,Check credit history,63565920509
58_15,Assess loan risk,63565921473
58_15,Appraise property,63565921671
58_15,Assess eligibility,63565926432
58_15,Prepare acceptance pack,63565926998
58_15,Check if home insurance quote is requested,63565927263
58_15,Send home insurance quote,63565927504
58_15,Verify repayment agreement,63565928144
58_15,Approve application,63565928992
58_15,Loan application approved,63565928992
59_16,Loan application received,63565993800
59_16,Check application form completeness,63565994219
59_16,Appraise property,63565995621
59_16,Check credit history,63565995982
59_16,Assess loan risk,63565996006
59_16,Assess eligibility,63565999629
59_16,Prepare acceptance pack,63566003410
59_16,Check if home insurance quote is requested,63566005385
59_16,Send acceptance pack,63566006772
59_16,Verify repayment agreement,63566008582
59_16,Cancel application,63566012112
59_16,Loan application canceled,63566012112
245_17,Loan application received,63578626200
245_17,Check application form completeness,63578627665
245_17,Check credit history,63578628632
245_17,Appraise property,63578628649
245_17,Assess loan risk,63578691923
245_17,Assess eligibility,63578693347
245_17,Added Activity,63578696693
