case Id,activity,timestamp
60_0,Loan application received,63700189200
60_0,Check application form completeness,63700255489
60_0,Check credit history,63700255875
60_0,Assess loan risk,63700256051
60_0,Appraise property,63700257095
60_0,Assess eligibility,63700258921
60_0,Reject application,63700260619
60_0,Loan application rejected,63700260619
61_1,Loan application received,63700263000
61_1,Check application form completeness,63700264788
61_1,Check credit history,63700266915
61_1,Appraise property,63700267788
61_1,Assess loan risk,63700269260
61_1,Assess eligibility,63700270002
61_1,Reject application,63700270169
61_1,Loan application rejected,63700270169
62_2,Loan application received,63700279200
62_2,Check application form completeness,63700279737
62_2,Appraise property,63700280103
62_2,Check credit history,63700281734
62_2,Assess loan risk,63700340945
62_2,Assess eligibility,63700341504
62_2,Prepare acceptance pack,63700341603
62_2,Check if home insurance quote is requested,63700341842
62_2,Send acceptance pack,63700343928
62_2,Verify repayment agreement,63700344098
62_2,Approve application,63700345137
62_2,Prepare acceptance pack,63700345587
62_2,Verify repayment agreement,63700347855
62_2,Added Activity,63700349358
62_2,Approve application,63700350295
62_2,Prepare acceptance pack,63700351507
62_2,Verify repayment agreement,63700353047
62_2,Added Activity,63700354398
62_2,Loan application approved,63700354398
140_3,Loan application received,63705632400
140_3,Check application form completeness,63705634111
140_3,Check credit history,63705634566
140_3,Assess loan risk,63705636876
140_3,Appraise property,63705636968
140_3,Assess eligibility,63705639164
140_3,Prepare acceptance pack,63705697596
140_3,Check if home insurance quote is requested,63705704920
140_3,Send home insurance quote,63705705556
140_3,Verify repayment agreement,63705707095
140_3,Cancel application,63705709914
140_3,Loan application canceled,63705709914
69_4,Loan application received,63700795800
69_4,Check application form completeness,63700859425
69_4,Appraise property,63700861276
69_4,Check credit history,63700863353
69_4,Assess loan risk,63700866679
69_4,Assess eligibility,63700871001
69_4,Reject application,63700871416
69_4,Loan application rejected,63700871416
141_5,Loan application received,63705706200
141_5,Check application form completeness,63705707497
141_5,Check credit history,63705707532
141_5,Appraise property,63705708598
141_5,Assess loan risk,63705709896
141_5,Assess eligibility,63705711166
141_5,Reject application,63705711335
141_5,Loan application rejected,63705711335
50_6,Loan application received,63699566400
50_6,Check application form completeness,63699566505
50_6,Check credit history,63699566583
50_6,Assess loan risk,63699568064
50_6,Appraise property,63699569419
50_6,Assess eligibility,63699569985
50_6,Prepare acceptance pack,63699570033
50_6,Check if home insurance quote is requested,63699578002
50_6,Send acceptance pack,63699578837
50_6,Verify repayment agreement,63699578942
50_6,Approve application,63699579733
50_6,Prepare acceptance pack,63699580085
50_6,Verify repayment agreement,63699580609
50_6,Added Activity,63699581193
50_6,Approve application,63699583842
50_6,Prepare acceptance pack,63699584765
50_6,Verify repayment agreement,63699585284
50_6,Added Activity,63699585704
50_6,Approve application,63699586149
50_6,Prepare acceptance pack,63699588118
50_6,Verify repayment agreement,63699588203
50_6,Added Activity,63699591485
50_6,Approve application,63699649362
50_6,Verify repayment agreement,63699649678
50_6,Prepare acceptance pack,63699650873
50_6,Added Activity,63699655075
50_6,Loan application approved,63699655075
70_7,Loan application received,63700869600
70_7,Check application form completeness,63700872781
70_7,Check credit history,63700873662
70_7,Assess loan risk,63700874415
70_7,Appraise property,63700879817
70_7,Assess eligibility,63700880701
70_7,Reject application,63700881241
70_7,Loan application rejected,63700881241
72_8,Loan application received,63700959600
72_8,Check application form completeness,63700960136
72_8,Check credit history,63700960952
72_8,Appraise property,63700961271
72_8,Assess loan risk,63700961860
72_8,Assess eligibility,63700963563
72_8,Prepare acceptance pack,63700964060
72_8,Check if home insurance quote is requested,63700970834
72_8,Send acceptance pack,63700971095
72_8,Verify repayment agreement,63701205018
72_8,Approve application,63701206583
72_8,Prepare acceptance pack,63701206745
72_8,Verify repayment agreement,63701206833
72_8,Added Activity,63701208623
72_8,Approve application,63701209064
72_8,Prepare acceptance pack,63701209770
72_8,Verify repayment agreement,63701212192
72_8,Added Activity,63701213658
72_8,Approve application,63701216585
72_8,Verify repayment agreement,63701217374
72_8,Prepare acceptance pack,63701217693
72_8,Added Activity,63701218468
72_8,Loan application approved,63701218468
51_9,Loan application received,63699582600
51_9,Check application form completeness,63699583166
51_9,Appraise property,63699584258
51_9,Check credit history,63699586038
51_9,Assess loan risk,63699586155
51_9,Assess eligibility,63699587178
51_9,Prepare acceptance pack,63699589574
51_9,Check if home insurance quote is requested,63699589979
51_9,Send acceptance pack,63699590867
51_9,Verify repayment agreement,63699649530
51_9,Cancel application,63699649570
51_9,Loan application canceled,63699649570
249_10,Loan application received,63713043000
249_10,Check application form completeness,63713047188
249_10,Check credit history,63713047511
249_10,Assess loan risk,63713048175
249_10,Appraise property,63713048769
249_10,Assess eligibility,63713052965
249_10,Reject application,63713054162
249_10,Loan application rejected,63713054162
73_11,Loan application received,63701206200
73_11,Check application form completeness,63701206241
73_11,Check credit history,63701207381
73_11,Appraise property,63701207565
73_11,Assess loan risk,63701209024
73_11,Assess eligibility,63701210048
73_11,Prepare acceptance pack,63701213564
73_11,Check if home insurance quote is requested,63701214078
73_11,Send home insurance quote,63701215616
73_11,Verify repayment agreement,63701217483
73_11,Approve application,63701219015
73_11,Prepare acceptance pack,63701219042
73_11,Verify repayment agreement,63701219240
73_11,Added Activity,63701220239
73_11,Loan application approved,63701220239
244_12,Loan application received,63712789200
244_12,Check application form completeness,63712789884
244_12,Check credit history,63712791622
244_12,Assess loan risk,63712791784
244_12,Appraise property,63712792054
244_12,Assess eligibility,63712795459
